cmun,dist,secc,poblacio,codi_edar
8019,3,69,1190,DPDL
8019,3,70,1338,DPDL
8019,3,71,1330,DPDL
8019,3,72,1424,DPDL
8019,3,73,1568,DPDL
8019,3,74,1796,DPDL
8019,3,75,1725,DPDL
8019,3,76,1093,DPDL
8019,3,77,1328,DPDL
8019,3,78,1730,DPDL
8019,3,79,1796,DPDL
8019,3,80,1512,DPDL
8019,3,81,1948,DPDL
8019,3,82,1871,DPDL
8019,3,83,1376,DPDL
8019,3,84,1399,DPDL
8019,3,85,1342,DPDL
8019,3,86,1228,DPDL
8019,3,87,1434,DPDL
8019,3,88,1427,DPDL
8019,3,89,1247,DPDL
8019,3,90,994,DPDL
8019,3,91,1455,DPDL
8019,3,92,1203,DPDL
8019,3,93,1499,DPDL
8019,3,94,1217,DPDL
8019,3,95,1602,DPDL
8019,3,96,1571,DPDL
8019,3,97,1663,DPDL
8019,3,98,1436,DPDL
8019,3,99,970,DPDL
8019,3,100,1306,DPDL
8019,3,101,4094,DPDL
8019,3,102,1294,DPDL
8019,3,103,1145,DPDL
8019,3,104,1422,DPDL
8019,3,105,1172,DPDL
8019,3,106,1256,DPDL
8019,3,107,1639,DPDL
8019,3,108,1653,DPDL
8019,3,109,1516,DPDL
8019,3,110,1477,DPDL
8019,3,111,1287,DPDL
8019,3,112,1829,DPDL
8019,3,113,1585,DPDL
8019,3,114,1461,DPDL
8019,3,211,1533,DPDL
8019,3,212,2436,DPDL
8019,3,213,2395,DPDL
8019,4,1,1240,DPDL
8019,4,2,1899,DPDL
8019,4,3,1018,DPDL
8019,4,4,976,DPDL
8019,4,5,1217,DPDL
8019,4,6,1083,DPDL
8019,4,7,1053,DPDL
8019,4,8,993,DPDL
8019,4,9,1442,DPDL
8019,4,10,881,DPDL
8019,4,11,1709,DPDL
8019,4,12,1369,DPDL
8019,4,13,1202,DPDL
8019,4,14,814,DPDL
8019,4,15,1860,DPDL
8019,4,16,1095,DPDL
8019,4,17,1182,DPDL
8019,4,18,1488,DPDL
8019,4,19,1302,DPDL
8019,4,20,1475,DPDL
8019,4,21,1263,DPDL
8019,4,22,1587,DPDL
8019,4,23,1033,DPDL
8019,4,24,1030,DPDL
8019,4,25,1153,DPDL
8019,4,26,1197,DPDL
8019,4,27,1323,DPDL
8019,4,28,1301,DPDL
8019,4,29,1125,DPDL
8019,4,30,1828,DPDL
8019,4,31,1817,DPDL
8019,4,32,1512,DPDL
8019,4,33,1137,DPDL
8019,4,34,1462,DPDL
8019,4,35,1356,DPDL
8019,4,36,1718,DPDL
